Airport Code,2002,2003,2004,2005,2006,2007,2008,2009
ATL,37720556,38893670,41123857,42402653,41352038,43236665,43761280,42280868
ORD,31706328,32920387,36100147,36720005,36825097,36521585,33683991,31135732
LAX,26911570,26239584,28925341,29372272,29357327,30113985,28861477,27439897
DFW,24761105,24976881,28063035,28079147,28627749,28482417,27219285,26663984
DEN,16943564,17969754,20407002,20799886,22822111,24117623,24287939,24013669
JFK,14552411,15676352,18586863,20260359,21071501,23401351,23620948,22710272
LAS,16600807,17097738,19943025,21402676,22028521,22537950,21024443,19445952
IAH,15865479,16134684,17322065,19032196,20479291,20767144,20030898,19290239
PHX,17271519,18252853,19336099,20315544,20591909,20796173,19450576,18559647
SFO,14736137,14079173,15605822,16070133,16236592,17280328,18135827,18467908
CLT,11743157,11465366,12499476,14009608,14749568,16584780,17281425,17165376
EWR,14553843,14628708,15827675,16444959,17804107,18163652,17599578,16659441
MCO,12921480,13375162,15270347,16592133,16807534,17614679,17288480,16371016
MIA,14020686,14198321,14515591,15092763,15664791,16194162,16377488,16187768
MSP,15544039,16022988,17482627,17971771,17192410,16962563,16369324,15551206
SEA,12969024,13109153,14092285,14359530,14703928,15419116,15839504,15273092
DTW,15525413,15754017,17046176,17580363,17483468,17495135,16998174,15211402
PHL,11954469,11870928,13824332,15376569,15390848,15656653,15586852,15002961
BOS,11077238,11087799,12758020,13214923,13544552,13783297,12820489,12566797
IAD,7848911,8050506,10961614,13032502,11045217,11789441,11348775,11132098
LGA,11076032,11367309,12312561,13014314,12925697,12529890,11567586,11084300
BWI,9367499,9768040,10103563,9829432,10297607,10487789,10215225,10338950
FLL,8266788,8682781,10040598,10729468,10204579,11079250,11020091,10258118
SLC,8997942,8958003,8884880,10601918,10289129,10560906,9993198,9903821
HNL,9406467,9044409,9579076,9784404,9855838,10393929,9013440,8739389
DCA,6172065,6813148,7661532,8623907,8973410,9038174,8704466,8490288
SAN,7392389,7565196,8135832,8628648,8724442,9138116,9007617,8453854
TPA,7726576,7672533,8436025,9297643,9187865,9306036,8871917,8263294
MDW,7878438,8687215,9238592,8383698,8915292,9132836,8021383,8253620
PDX,5978025,6059860,6379884,6798976,6956712,7281057,7090526,6430119
STL,12474566,9922456,6377628,6847228,7037400,7130801,6740468,6084070
CVG,10316170,10449930,10864547,11277068,7984074,7728069,6648600,5194214
MEM,5231998,5411496,5295062,5630305,5508235,5546321,5376818,5054191
MCI,5161518,4860047,5040595,5063120,5466672,5833064,5386242,4894349
CLE,5146975,5012446,5389196,5529629,5447482,5571219,5387625,4704329
OAK,6164548,6638343,6923690,7071534,7076936,7144127,5583748,4612631
SMF,4260514,4390847,4795970,5108364,5182641,5382463,4986771,4460600
RDU,4198873,3938925,4371883,4723989,4706587,4979553,4792909,4435624
BNA,4009959,3943236,4298703,4563251,4779474,4887925,4648000,4385780
SNA,3968978,4266083,4621107,4791786,4777896,4948846,4464380,4311329
SJC,5248193,5104201,5269849,5309992,5283407,5255257,4780264,4103834
HOU,3819306,3703767,3960890,3961642,4115021,4239375,4246907,4087524
AUS,3186381,3177889,3446564,3645956,3945020,4181956,4268536,4027100
PIT,8975111,7113460,6606117,5198442,4946256,4875883,4292546,3956842
MSY,4598838,4647706,4839400,3912884,3127963,3770246,3990374,3916746
MKE,2779197,3114864,3302604,3602536,3630098,3751345,3861333,3822542
SAT,3224764,3120098,3376750,3604665,3915428,3911726,4018866,3791928
IND,3411978,3673648,3992097,4221085,4008638,4097398,4061450,3732534
DAL,2815907,2797303,2945909,2949256,3443537,3988199,4021976,3675861
RSW,2551187,2906367,3320019,3701665,3764223,3986928,3770681,3668279
CMH,3283639,3050585,3071447,3281452,3336994,3827349,3419513,3096515
PBI,2716514,3011968,3281656,3496936,3418310,3475345,3232009,3004076
ABQ,2973093,2945468,3079172,3169861,3176299,3239096,3158971,2881798
JAX,2462399,2415747,2619494,2890298,2971953,3138015,2965973,2777041
BUF,2060710,2039475,2206385,2436952,2522123,2677183,2744501,2657467
BDL,3221081,3098556,3326461,3617453,3409938,3231374,3006362,2626873
OGG,2663824,2656254,2695000,2843845,3027106,3141449,2652335,2496145
ONT,3092677,3089025,3291726,3458935,3404361,3473272,2998110,2416872
BUR,2305747,2352465,2455574,2761184,2836413,2950652,2647287,2294991
ANC,2388563,2246683,2439969,2430081,2367390,2617964,2599313,2282637
PVD,2662721,2553584,2732524,2846002,2588992,2499677,2342593,2153168
OMA,1747320,1783714,1892379,2052234,2075306,2162954,2136880,2083973
RNO,2170828,2242299,2478179,2510458,2441502,2450451,2150816,1828818
TUS,1677341,1699762,1863790,2050377,2090514,2178748,2070573,1795534
ORF,1731105,1722999,1895472,1953003,1862325,1867307,1786594,1701246
OKC,1579179,1615264,1695096,1773522,1799977,1840760,1838709,1662631
RIC,1168023,1194270,1251406,1452066,1644419,1805992,1733668,1649284
SDF,1740526,1656609,1720377,1862017,1836260,1912495,1845317,1622804
MHT,1647797,1776347,1973142,2149035,1931563,1920911,1834875,1578349
ELP,1452631,1409164,1555212,1638242,1658102,1669792,1613946,1495879
GEG,1354085,1375698,1508921,1583737,1605069,1710425,1691345,1494490
BHM,1405395,1376152,1498651,1595443,1551339,1648476,1623506,1442155
TUL,1450242,1363682,1462799,1563622,1599853,1621017,1606622,1416249
LGB,708686,1409039,1425875,1481659,1343151,1415280,1413251,1401903
BOI,1380227,1357984,1451728,1581338,1656677,1689046,1574210,1400343
ALB,1448263,1405611,1536263,1533301,1443360,1423754,1365854,1302814
KOA,1200897,1183215,1260328,1355639,1450717,1519345,1332667,1279968
DAY,1144295,1306740,1442849,1220130,1303779,1412758,1454618,1240848
LIH,1238972,1228675,1233883,1257848,1331432,1450512,1287696,1228150
LIT,1101623,1063920,1138249,1265098,1236223,1245098,1181846,1108603
CHS,788811,809052,909084,1072182,944143,1145129,1174667,1095038
SYR,945066,954229,1130236,1222657,1128483,1179113,1105143,1016571
COS,1038027,1010985,1024656,1025481,997763,1040879,997348,931993
ISP,961601,939880,986103,1055832,1138061,1167515,1048768,929902
GRR,960482,986923,1074816,1041967,1005586,992539,902925,883677
PWM,623093,625267,687344,734295,710142,819995,876102,871291
GSO,1262124,1291949,1339579,1310034,1082846,1089436,1052258,862679
DSM,846301,887515,975859,922099,947393,963231,919990,853596
SFB,648144,619894,926820,789795,915135,985597,927188,836223
SAV,846683,829821,957208,1032676,950904,992625,959037,799066
MSN,759506,802730,846369,804519,803503,783937,728075,747941
PSP,547190,627231,687098,715627,771867,806679,772906,739349
ICT,635839,691191,729051,718457,710380,769124,780756,730374
CAK,440346,576472,671278,711540,710337,691603,722337,715367
MYR,614828,650106,748608,776051,692364,804742,705430,704771
BTV,546857,546452,627423,690641,681678,703186,747559,700592
PNS,665881,689268,734921,815157,807069,832158,771917,694786
SRQ,563625,533045,562398,656007,712379,782497,753126,675969
GSP,688061,675498,780842,893397,756490,774450,699805,625728
MDT,652552,650340,688610,647468,577559,643285,635627,615625
FAT,497156,501373,538394,574012,623997,636032,600489,580203
HSV,481374,512540,585058,619499,561395,607205,612690,572767
PHF,293181,360018,451113,514361,513367,513381,504292,498205
FNT,361484,479350,596484,553468,532680,532621,526492,489388
FAI,380576,388841,420394,420597,424816,449076,456947,424496
SGF,317511,314834,354326,434362,428249,433232,380419,398025
SBA,368250,383902,417285,431079,434753,415399,413929,379777
BZN,271712,281463,308929,336516,318115,335642,349550,343754
RAP,206337,217949,240703,244174,226323,237692,273151,266467
SWF,176195,201851,250006,199741,156638,455045,392464,197655
